short_name,nb_items,nb_collections,first_names,surname,date_of_birth,date_of_death,viaf_id
Demosthenes,449,212,-,Demosthenes,384 BCE,322 BCE,268302412
"Phaedrus, Gaius Julius",448,246,Gaius Julius,Phaedrus,c. 15 BCE,c. 50,9034149544629300490003
Epictetus,436,240,Epictetus,-,c. 50,c. 130,100218891
Sophocles,434,210,Sophocles,Sophocles,c. 495 BCE,c. 406 BCE,101760867
"Catullus, Gaius Valerius",425,230,Gaius Valerius,Catullus,c. 84 BCE,c. 54 BCE,100218993
Theophrastus,419,268,Theophrastus,-,c. 371 BCE,c. 287 BCE,265397758
"Quintilian, Marcus Fabius",401,226,Marcus Fabius,Quintilianus,35,100,34451872
Eusebius of Caesarea,390,210,Eusebius,of Caesarea,c. 260,c. 339,300039919
Aristophanes,389,215,Aristophanes,Aristophanes,c. 445 BCE,,20962036
"Petronius Arbiter, Gaius",389,225,Gaius,Petronius Arbiter,c. 27,66,95155909
"Propertius, Sextus",368,214,Sextus,Propertius,c. 50 BCE,c. 15 BCE,100907186
Aesop,343,217,-,Aesop,c. 620 BCE,,64013451
Euripides,342,181,-,Euripides,480 BCE,406 BCE,9553153063127619320004
Velleius Paterculus,324,219,Marcus,Velleius Paterculus,c. 19 BCE,c. 31,100171160
Pindar,317,164,-,Pindar,515 BCE,438 BCE,100181310
Aulus Gellius,285,196,Aulus,Gellius,c. 123,c. 180,100198334
Polybius,284,196,-,Polybius,c. 208 BCE,c. 125 BCE,18152380130901762264
"Boethius, Anicius Manlius Severinus",280,188,Anicius Manlius Severinus,Boethius,c. 480,c. 524,100218964
Apuleius,273,179,Lucius,Apuleius,c. 124,c. 170,337145858249023022819
"Lactantius, Lucius Caecilius",267,174,Lucius Caecilius Firmianus,Lactantius,c. 250,c. 325,100198064
"Tertullian, Quintus Septimius",254,156,Quintus Septimius Florens,Tertullian,c. 160,c. 230,257902368
Isocrates,245,156,-,Isocrates,436 BCE,338 BCE,36926979
"Aelian, Claudius",241,159,Claudius Praenestinus,Aelianus,c. 175,c. 235,306342544
Claudian (Claudius Claudianus),224,160,Claudius,Claudianus,370,404,246763674
Marcus Aurelius Antoninus (emperor),223,161,Marcus Aurelius,Antoninus,121,180,102895066
Diogenes Laërtius,220,162,Diogenes,Laërtius,fl. 230,,41839141
"Longinus, Cassius Dionysius",213,143,Cassius Dionysius,Longinus,c. 213,c. 273,42634532
Herodian of Antioch,209,154,-,Herodian,c. 170,c. 240,87614586
John Chrysostom (saint),204,114,Johannes,Chrysostomus,c. 349,407,55640865
"Statius, Publius Papinus",204,150,Publius Papinus,Statius,c. 40,c. 96,26149542580800300424
Arrian of Nicomedia,202,139,Lucius Flavius,Arrianus,c. 95,c. 175,100192636
Appian of Alexandria,196,146,Appian of Alexandria,Appianus,c. 100,c. 180,100191271
Diodorus Siculus,192,147,Diodorus,Siculus,c. 90 BCE,c. 30 BCE,56608763
Aeschines,188,116,Aeschines,-,389 BCE,314 BCE,161234357
Sulpicius Severus,184,141,Sulpicius Severus,-,c. 363,c. 420,30332452
Origen,182,115,.,Origen,c.185,c.254,95155322
"Ausonius, Decimus Magnus",178,133,Decimus Magnus,Ausonius,c. 310,c. 395,109786483
"Ptolemy, Claudius",176,127,Claudius,Ptolomeus,c. 100,c. 170,312739422
Vitruvius,165,92,Marcus Vitruvius Pollio,Vitrubius,c. 90 BCE,c. 20 BCE,77586244
"Celsus, Aulus Cornelius",163,94,Aulus Cornelius,Celsus,29 BCE,37,100172872
Cassius Dio,162,118,Lucius,Cassius Dio,c. 155,c. 235,95167625
Pausanias,157,130,Pausanias,-,c. 110,c. 180,77132959
Eutropius,156,123,Flavius,Eutropius,fl. 360,,25396473
Sappho,155,115,.,Sappho,c. 630 BCE,c. 570 BCE,78770488
Justin Martyr (saint),155,118,Justin Martyr (saint),-,c. 100,165,88878069
"Galen, Claudius",150,82,Claudius,Galenus,c. 131,c. 201,44299175
Cyprian of Carthage (saint),147,103,Thascius Caecilius,Cyprianus,c. 200,c. 258,100179090
Ammianus Marcellinus,133,109,Ammianus,Marcellinus,c. 330,c. 440,7994149544621300490006
Strabo,132,114,Strabo,-,c. 64 BCE,c. 24,100219883
Julian (emperor),125,105,Flavius Claudius Julianus,-,331,363,57406701
Iamblichus,123,86,-,Iamblichus,fl. 160,,41992412
Aurelius Victor,120,100,Sextus,Aurelius Victor,c. 320,c. 390,64001057
"Prudentius, Aurelius",118,103,Aurelius,Prudentius Clemens,348,c. 405,100010336
Hierocles of Alexandria,118,98,Hierocles of Alexandria,-,fl. 430,,95295649
Clement of Alexandria,109,92,Clement,Clement of Alexandria,c. 150,c. 215,2653149544580200490007
Gregory of Nazianzus,108,86,Gregory of Nazianzus,-,c. 330,c. 390,108675755
Philo Judaeus,106,91,Philo,Judaeus,c. 20 BCE,c. 40,307158263
Athenaeus of Naucratis,106,91,-,Athenaeus of Naucratis,fl. 2nd century,,307168041
Moschus,103,74,Moschus,-,fl. 150 BCE,,299323588
"Valerius Flaccus, Gaius",99,78,Gaius,Valerius Flaccus,c. 45,c. 90,100899421
"Terentius Varro, Marcus",99,71,Marcus,Terentius Varro,116 BCE,27 BCE,100219311
Theodoretus of Cyrrha,99,71,-,Theodoretus of Cyrrha,c. 393,c. 466,77111352
Philostratus (Flavius),98,80,Flavius,Philostratus,c. 175,c. 246,250889454
Apollonius of Rhodes,97,70,Apollonius,-,fl. 230,,100175273
"Jerome, Eusebius Sophronius (saint )",96,80,Sophronius Eusebius,Hieronymus,c. 347,c. 420,95147024
"Vegetius, Publicus Flavius",96,89,Publicus Flavius Vegetius Renatus,Vegetius,c. 383,c. 450,163344563
Bion of Smyrna,94,73,Bion of Smyrna,-,c. 120 BCE,57 BCE,7476159477558427990005
"Frontinus, Sextus Julius",94,73,Sextus Julius,Frontinus,c. 40,c. 103,12349897
Lycophron of Chalcis,84,67,Lycophron of Chalcis,.,fl. 260 BCE,,68976194
Aphthonius of Antioch,84,62,Aphthonius,Aphthonius of Antioch,fl. 360,,265112315
Procopius of Caesarea,82,67,Procopius of Caesarea,-,c. 500,c. 570,100172302
Basil of Caesarea,82,66,-,Basil of Caesarea,c. 329,379,88967224
Maximus of Tyre,81,72,Maximus of Tyre,-,fl. 150,,100903442
Pedanius Dioscorides,80,62,Pedanius,Dioscorides,c. 40,c. 90,78822798
Ignatius of Antioch (saint),78,54,Ignatius of Antioch,-,c. 35,c. 108,267432724
Cato (the Elder),75,61,Marcus Porcius,Cato,234 BCE,149 BCE,99852885
"Pollux, Julius",72,60,Julius,Pollux,180,238,2991030
Theophylact of Ohrid,69,47,Theophylact,-,105,,69730041
Zosimus,68,62,Zosimus,-,460,520,102333329
Proclus,66,44,-,Proclus,412,485,102369543
Socrates Scholasticus,64,61,Socrates Scholasticus,-,c. 380,c. 450,55571017
Archimedes of Syracuse,62,48,-,Archimedes,c. 288 BCE,c. 212 BCE,29547910
"Ambrosius, Aurelius (saint)",60,56,Aurelius,Ambrosius,c. 340,c. 397,100227669
Aurelius Cassiodorus,55,48,Flavius Magnus Aurelius,Cassiodorus Senator,c. 490,c. 580,95230707
"Festus, Sextus Pompeius",54,49,Sextus Pompeius,Festus,fl. 2nd century,,89123645
Menander,54,43,.,Menander (of Athens),c. 342 BCE,c. 292 BCE,267889413
Sextus Empiricus,54,51,Sextus Empiricus,-,c. 160,c. 210,60320706
Nonnus of Panopolis,54,40,Nonnus of Panopolis,-,fl. 400,,61564416
"Harpocration, Valerius",50,39,Valerius,Harpocration,c. 150,,211435698
"Sozomenus, Hermias",50,48,Hermias,Sozomenus,c. 400,c. 450,305409681
Hesychius of Alexandria,49,44,Hesychius of Alexandria,-,fl. 450,,21314508
Censorinus,49,45,Censorinus,-,fl. 238,,195718548
Salvianus,47,37,Salvianus,-,c. 400,c. 480,236486362
Porphyry of Tyre,47,43,Porphyry of Tyre,-,c. 234,c. 305,102333270
Gregory of Nyssa (saint),47,36,Gregory of Nyssa,-,c. 335,c. 394,103646160
Philemon Syracusanus,47,39,Philemon,Syracusanus,c. 360 BCE,c. 263 BCE,231019921
Leo the Great (Pope),46,40,Leo,-,c. 400,c. 461,9875336
Simplicius of Cilicia,45,34,Simplicius of Cilicia,-,c. 490,c. 560,71399875
Athenagoras of Athens,45,35,Athenagoras,-,c. 133,c. 190,106097488
"Orosius, Paulus",45,41,Paulus,Orosius,c. 375,4XX,2479624
Lysias,44,35,.,Lysias,c. 445 BCE,c. 380 BCE,183417170
Themistius,44,37,Themistius,-,317,c. 390,100219934
Aretaeus of Cappadocia,43,24,-,Aretaeus of Cappadocia,fl. 130,,173472364
"Seneca, Marcus / Lucius Annaeus (rhetor)",43,37,Lucius Annaeus,Seneca,c. 55 BCE,c. 37,23497389
Philostratus the Elder,42,37,-,Philostratus,c. 190,c. 230,72203785
Hilarius Pictaviensis,42,39,Hilarius Pictaviensis,-,c. 315,367,89595978
"Symmachus, Quintus Aurelius",42,39,Quintus Aurelius,Symmachus,c. 340,405,98247027
"Asconius Pedianus, Quintus",42,35,Quintus,Asconius Pedianus,c. 9 BCE,c. 76,85065079
Oppian of Cilicia,40,36,Oppianus,-,fl. 2nd cent.,,225956084
Polyaenus,40,39,-,Polyaenus,fl. 2nd c,,15564840
"Ennius, Quintus",39,35,Quintus,Ennius,c. 239 BCE,c. 169 BCE,84976347
Fulgentius of Ruspe (saint),37,31,Fabius Claudius Gordianus,Fulgentius,467,532,102324857
Julius Obsequens,37,35,Julius Obsequens,-,fl. 400,,100202247
Synesius,37,32,Synesius,-,c. 373,c. 413,102323982
Cyril of Jerusalem (saint),36,31,Cyril of Jerusalem,-,c. 315,386,2437490
Dio Chrysostom,35,33,Dio Chrysostom,-,c. 40,c. 115,100906841
Philostratus the Younger,35,31,-,Philostratus,c. 220,03..,14850802
Aratus Solaeus,34,25,Aratus,Solaeus,c. 315 BCE,c. 240 BCE,100908520
Quintus Calaber,32,27,Quintus Calaber,-,fl. 4th century,,76294608
Cyril of Alexandria (saint),32,25,Cyril of Alexandria,-,c. 376,444,190218431
Antoninus Liberalis,32,27,Antoninus Liberalis,-,fl. c. 100-300,,251871635
Sidonius Apollinaris,32,31,.,Gaius Sollius Modestus Apollinaris Sidonius,c.431,c.489,89203537
Epicurus,31,30,Epicurus,-,341 BCE,270 BCE,1763151778254618130009
Palaephatus,30,28,Palaephatus,-,fl. 4th century,,100181721
"Avianus, Flavius",28,26,Flavius,Avianus,c. 4th C.,c. 4th C.,41836105
Prosper d'Aquitaine (saint),28,24,-,Prosper d'Aquitaine (saint),c. 390,c. 455,52485706
Nemesius of Emesa (bishop),28,27,Nemesius of Emesa,-,fl. 390,,42630277
Plotinus,27,25,-,Plotinus,205,270,108386765
"Firmicus Maternus, Julius",27,22,Julius,Firmicus Maternus,c. 300,,5015147967361884200009
Aelianus Tacticus,26,24,Aelianus Tacticus,-,fl. 2nd century,,72639048
Artemidorus Daldianus,26,25,Artemidorus,Daldianus,fl. 150,,61683125
"Solinus, Gaius Julius",26,24,Gaius Julius,Solinus,fl. 250,,51672454
Verrius Flaccus,25,24,Marcus,Verrius Flaccus,c. 55 BCE,c. 20,13153593741251671199
Nonius Marcellus,25,24,Nonius Marcellus,-,fl. 350,,59182520
"Palladius, Rutilius Taurus Aemilianus",24,21,Rutilius Taurus Aemilianus,Palladius,fl. 400,,54143112
Macarius of Egypt (saint),24,23,Macarius,-,300,391,93095832
Albinovanus Pedo,23,23,Albinovanus Pedo,-,fl. 10,,8826150033013511180002
Epiphanius (Saint),23,22,-,Epiphanius,c. 315,403,13651211
Oribasius,22,18,Oribasius,-,326,403,7440344
"Chrysologus, Petrus (saint)",21,19,Petrus,Chrysologus,c. 400,c. 450,71362351
"Rutilius Namatianus, Claudius",20,19,Claudius,Rutilius Namatianus,fl. 400,,102333340
Isidore of Pelusium (saint),20,20,-,Isidore of Pelusium,355,440,63872189
Diophantus of Alexandria,20,20,Diophantus of Alexandria,-,c. 200,c. 290,276517028
Apollinaris of Laodicea,19,18,Apollinaris of Laodicea,-,c. 310,c. 390,261762494
Lucilius,19,16,Gaius,Lucilius,c. 180 BCE,c. 102 BCE,89131128
Polycarp (saint),18,18,Polycarp,-,c. 69,c. 155,2475604
Eunapius,18,16,Eunapius,-,347,420,100215825
Caelius Aurelianus,18,16,Caelius Aurelianus,-,fl. 450,,102322199
Philostorgius,18,17,Philostorgius,-,368,433,88747658
Xenophon of Ephesus,16,15,Xenophon of Ephesus,-,fl. 2nd cent.,,83987541
Demetrius Phalereus,16,15,Demetrius Phalereus,-,c. 350 BCE,c. 280 BCE,22955539
Heron of Alexandria,16,13,Heron of Alexandria,-,c. 10,c. 70,50151776733818010028
Sallust (philosopher),16,16,Sallustius,-,fl. 4th century,,104162705
Colluthus,15,13,Colluthus,-,fl. 500,,62351876
Aemilius Probus,15,15,Aemilius Probus,-,fl. 4th century,,141499566
pseudo-Scylax of Caryanda,14,13,pseudo-Scylax of Caryanda,-,fl. 330,,291988135
Sextus Pomponius,13,10,Sextus Pomponius,-,fl. 150,,67261809
Valerius Probus,12,10,Marcus,Valerius Probus,c. 20,105,90633449
Chariton Aphrodisiensis,11,11,Chariton,Chariton Aphrodisiensis,c. 100,,27062313
Polemon of Laodicea,10,8,Marcus Antonius,Polemon of Laodicea,c. 90,c. 144,79012427
Procopius of Gaza,10,10,Procopius of Gaza,-,c. 465,c. 528,48159479
Rufus of Ephesus,10,7,Rufus of Ephesus,-,c. 70,c. 110,9952158070769008780003
"Rutilius Lupus, Publius (rhetorician)",10,10,Publius,Rutilius Lupus,fl. 20,,100211635
Gregory Thaumaturgus (saint),9,9,Gregory Thaumaturgus,-,c. 213,c. 270,88726043
Alcinous,8,8,Alcinous,-,fl. 150,,301986016
Hephaestion Alexandrinus,8,7,Hephaestion Alexandrinus,-,fl. 150,,265864593
Apollonius Dyscolus,8,8,Apollonius Dyscolus,-,fl. 150,,111130260
"Mercator, Marius",8,8,Marius,Mercator,c. 390,after 451,60905671
Theon of Smyrna,8,8,Theon of Smyrna,-,fl 100,,56588190
Apollonius the Sophist,8,8,Apollonius the Sophist,-,c. 100,,118025459
Publilius Syrus,7,5,Publilius Syrus,-,c. 90 BCE,c. 40 BCE,22130553
Corinna,7,7,Corinna,-,fl. 5th cent. BCE,,7407161332389852420005
"Ulpianus, Domitius",6,6,Domitius,Ulpianus,c. 160,228,100210035
Ephrem the Syrian,6,5,Syrus,Ephrem,c. 306,373,100177778
Onosander,6,6,Onodander,-,fl. 49,,285771738
Praxilla of Sicyon,6,6,Praxilla of Sicyon,-,fl. 5th cent. BCE,,44692841
Iranaeus of Lyon (saint),6,6,Iraneus,-,c. 130,c. 202,70051641
Aelius Herodianus (grammarian),6,6,Aelius Herodianus,-,c. 180,c. 250,88626271
Damasus I (Pope),5,5,Damasus,-,c. 305,384,267405622
"Festus, Rufus Sextus",4,3,Rufus Sextus,Festus,fl. 4th century,,79076696
Sulpicia,4,4,Sulpicia,-,c. 50 BCE,c. 1 BCE,79413101
Aristarchus of Samos,4,4,Aristarchus of Samos,-,c. 310 BCE,c. 230 BCE,17144782942102632442
Ulfilas (bishop),3,1,Ulfilas,-,311,383,66477200
Babrius,3,3,Babrius,-,c. 100,,19646296
Aeneas of Gaza,3,3,Aeneas of Gaza,-,c. 450,c. 518,85151247927244270006
Quintus of Smyrna,3,3,Quintus of Smyrna,-,fl. 350,,822154381060730292426
Hesychius of Jerusalem,3,3,Hesychius of Jerusalem,-,fl. 450,,262453640
Benedict of Nursia (saint),2,2,Benedict of Nursia,-,c. 480,c. 543,28147121748626392193
Coelius Sedulius,2,2,Caius Coelius,Sedulius,fl. 400,,537154380915430290267
"Lydus, Johannes",1,1,Johannes,Lydus,0490,0565?,109213110
Eucherius of Lyon,1,1,-,Eucherius,370,450,90719515
Democritus,1,1,Democritus,-,c. 460 BCE,c. 370 BCE,49224361
Caesarius Arelatensis,0,0,_,Caesarius Arelatensis,c. 470,542,102305735
