wikidata_id;lang_code;label;aliases
Q1409;mr;कॅलिगुला;
Q1409;mn;Калигула;
Q1409;ml;കലിഗുല;
Q1409;mk;Калигула;
Q1409;mg;Caligula;
Q1409;mai;कालिगुला;
Q1409;lv;Kaligula;
Q1409;lt;Kaligula;
Q1409;lb;Caligula;
Q1409;ky;Калигула Гай Юлий Цезарь;
Q1409;kw;Caligula;
Q1409;ku;Caligula;
Q1409;ko;칼리굴라;
Q1409;km;លោកកៃយុសសេសារ;
Q1409;kg;Caligula;
Q1409;ka;კალიგულა;
Q1409;ja;カリグラ;
Q1409;is;Calígúla;
Q1409;id;Caligula;
Q1409;hy;Կալիգուլա;
Q1409;hu;Caligula római császár;Caius Caesar|Caius Caesar Caligula|Caius Iulius Caesar Augustus Germanicus|Caligula
Q1409;hr;Kaligula;
Q1409;hi;कालिगुला;
Q1409;gsw;Caligula;
Q1409;gl;Calígula;
Q1409;fy;Kaligula;
Q1409;frr;Caligula;
Q1409;fa;کالیگولا;
Q1409;ext;Calígula;
Q1409;eu;Kaligula;
Q1409;et;Caligula;
Q1409;es;Calígula;Caligula|Cayo Julio Cesar Augusto Germanico|Cayo Julio César Augusto Germánico
Q1409;eo;Kaligulo;
Q1409;en-gb;Caligula;
Q1409;en-ca;Caligula;
Q1409;el;Γάιος Καλιγούλας;Γάιος Ιούλιος Καίσαρας Γερμανικός
Q1409;diq;Caligula;
Q1409;de-ch;Caligula;
Q1409;da;Caligula;
Q1409;cy;Caligula;
Q1409;cv;Калигула;
Q1409;ckb;کالیگولا;
Q1409;cbk-zam;Caligula;
Q1409;ca;Calígula;
Q1409;bs;Kaligula;
Q1409;br;Caligula;
Q1409;bn;ক্যালিগুলা;
Q1409;bg;Калигула;
Q1409;be-tarask;Калігула;
Q1409;be;Калігула;
Q1409;bcl;Caligula;
Q1409;azb;کالیقولا;
Q1409;az;Kaliqula;
Q1409;ast;Calígula;
Q1409;as;কেলিগোলা;
Q1409;ar;كاليغولا;
Q1409;am;Caligula;
Q1409;af;Caligula;
Q154732;sv;Agrippina den yngre;Agrippina 2|Agrippina d.y.|Agrippina Minor
Q154732;pt;Agripina Minor;Agripina|Agripina a Jovem|Agripina a Menor|Agripina Menor|Agripina, a Jovem|Agripinila
Q154732;pl;Agrypina Młodsza;Agryppina Młodsza|Julia Agrippina
Q154732;nl;Iulia Agrippina minor;Agrippina de Jongere|Agrippina minor|Julia Agrippina minor
Q154732;nb;Agrippina den yngre;Agrippina d.y.
Q154732;lt;Agripina Jaunesnioji;Agripina
Q154732;la;Agrippina Minor;Iulia Agrippina
Q154732;ja;小アグリッピナ;小アグリッピーナ
Q154732;it;Agrippina minore;Giulia Agrippina|Giulia Agrippina Augusta
Q154732;fr;Agrippine la Jeune;Agrippine, la jeune|Iula Agrippina|Julia Agrippina
Q6704704;en;Luperculus;Saint-Luperc
Q4791109;sw;Aristotle of Cyrene;Aristotélès de Cyrène
Q4791109;fr;Aristote de Cyrène;Aristotélès de Cyrène
Q4786155;fr;Archestratos;Archestrate
Q4740187;la;Amarantus Alexandrinus;Amarantus Grammaticus
Q4740187;fr;Amarantos d'Alexandrie;Amarante d'Alexandrie
Q4740187;es;Amaranto de Alejandría;Amaranto de Alejandria
Q4740187;de;Amarantos von Alexandreia;Amarantos von Alexandria
Q4740187;en;Amarantus of Alexandria;Amarantos|Amarantos of Alexandreia
Q4740187;ca;Amarant d'Alexandria;Amarantos|Amarant d’Alexandria|Amarantos d'Alexandria
Q4738696;en;Alypius of Antioch;Alypios|Alypios of Antioch
Q4738694;ru;Алипий;Алипий Константинопольский
Q4738694;la;Alypius Constantinopolitanus;Alypius Presbyter
Q4721014;sq;Alexandrides;Anassandrida
Q4721014;nl;Alexandrides;Anassandrida
Q4721014;it;Alessandride di Delfi;Anassandrida|Anassandride di Delfi
Q4721014;fr;Alexandridès de Delphes;Alexandride de Delphes|Anaxandridas de Delphes|Anaxandride de Delphes
Q4721014;en;Alexandrides of Delphi;Anaxandrides of Delphi
Q4721014;ca;Alexàndrides de Delfos;Anaxàndrides de Delfos
Q4203785;sh;Izidor (gnostik);Isidor (gnostik)
Q4203785;ru;Исидор (гностик);Исидор, гностик
Q4203785;fr;Isidore;Isidoros|Isidore le Gnostique
Q3822562;nl;Papulus;Papolus van Saint-Papoul
Q3822562;en;Papulus;Saint Papulus
Q3822562;ca;Pàpol de Tolosa;Sant Papul
Q3624211;nl;Artemone di Pergamo;Artemon van Pergamon
Q3624211;la;Artemon Pergamenus;Artemon Historicus
Q3624211;ast;Artemone di Pergamo;Artemó de Pèrgam
Q3624183;la;Artemidorus Tarsensis;Artemidorus Aristophanius|Artemidorus Tarsensis Grammaticus
Q3624183;it;Artemidoro di Tarso;Artemidoro Aristofaneo|Artemidoro di Tarso Grammatico
Q3624183;grc;Ἀρτεμίδωρος Ταρσεύς;Ἀρτεμίδωρος Ταρσεύς Γραμματικός
Q3624183;fr;Artémidoros de Tarse;Artémidore de Tarse|Artémidoros de Tarse le Grammairien|pseudo-Aristophane
Q3624183;en;Artemidorus of Tarsus;Artemidorus of Tarsus the Grammarian
Q3624183;el;Aρτεμίδωρος της Ταρσού;Αρτεμίδωρος ο Αριστοφάνειος|Αρτεμίδωρος ο Ψευδαριστοφάνειος
Q3624183;de;Artemidoros von Tarsos;Artemidorus Aristophanius
Q3622711;it;Aristonico d'Alessandria;Aristonico di Alessandria
Q3622711;ca;Aristonic d'Alexandria;Aristònic d’Alexandria
Q3616369;de;Andron von Halikarnassos;Andron aus Halikarnassos
Q3616354;fr;Andromachos le Jeune;Andromaque le Jeune
Q3616354;es;Andrómaco el joven;Andromaco el joven
Q3616354;en;Andromachus the Younger;Andròmacos el jove
Q3616354;ca;Andròmac el jove;Andròmac el Jove
Q3558571;la;Phaedimus;Phaedimus Epigrammaticus|Phaedimus Macedo
Q3558571;fr;Phaedimos;Phédime de Bisanthe
Q3558571;el;Φαίδιμος Βισανθηνός;Φαίδιμος ο Βισανθηνός
Q3558571;en;Phaedimus of Bisanthe;Phaidimos|Phaidimus of Bisanthe
Q3413787;la;Archelaus;Archelaus de Carchara
Q3413787;en;Archelaus;Archelaus of Carrhae
Q3413787;de;Archelaos;Archelaos von Mesopotamien
Q3413787;ca;Arquelau de Carres;Sant Arquelau
Q3413787;fr;Archélaos;Archélaüs|Archélaüs de Carchara
Q3413787;ast;Archelao di Carcara;Archelaus|Arquelau de Carres
Q3413787;nl;Archelao di Carcara;Archelaus
Q3413787;it;Archelao di Carcara;Archelao|Archelao di Carre
Q2528551;tr;Ceoslu Aristo;Ceoslu Ariston|Iulisli Aristo|Iulisli Ariston|Keoslu Aristo|Keoslu Ariston|Krealı Aristo|Krealı Ariston
Q2528551;la;Ariston Ceus;Aristo Ceus|Ariston Peripateticus
Q2528551;it;Aristone di Ceo;Aristone di Iulide
Q2528551;fi;Ariston Keoslainen;Ariston Iulislainen|Ariston Julislainen
Q2528551;en;Aristo of Ceos;Aristo of Keos|Ariston of Iulis
Q2283002;it;Agia di Trezene;Agia
Q2283002;fr;Agias de Trézène;Hagias de Trézène
Q2283002;en-gb;Agias;Hagias
Q2283002;en-ca;Agias;Hagias
Q2283002;en;Agias;Hagias
Q2283002;de-ch;Agias;Hagias
Q2283002;de-at;Agias;Hagias
Q2283002;de;Agias;Hagias
Q2283002;ca;Hàgies;Àgies
Q1300185;nl;Estatili Flac;Statilius Flaccus
Q1300185;la;Statilius Flaccus;Statilius Epigrammaticus|Statyllius Epigrammaticus|Statyllius Flaccus
Q106376682;es;Ferbuta;Derfuta|Ferbuta|Tárbula|Tartufa|Termuta
Q106376682;en;Pherbutha;Derphuta|Ferbuta|Ferbuta z Seleucji|Tarbula|Tartufa|Tbarbo|Thermo|Thermutha
Q105883007;la;Melito Atheniensis;Melito Historicus
Q105883007;it;Melitone di Atene;Melitone d'Atene
Q105883007;en;Meliton of Athens;Melito of Athens
Q105883007;de;Meliton von Athen;Meliton Atthidograph|Meliton Historiker
Q104708267;la;Athenacon;Athenaco|Athenaco Historicus|Athenacon Historicus
Q104708267;en;Athenacon;Athenaco
Q104708267;de;Athenakon;Athenakon Historiker
Q104708245;la;Asclepiades Cyprius;Asclepiades Historicus
Q104708245;fr;Asclépiadès de Chypre;Asclépiade de Chypre
Q104708245;en;Asclepiades of Cyprus;Asclepiades Cyprius|Asclepiades Historicus
Q98050424;la;Laco Epigrammaticus;Laco
Q98050424;en;Laco;Lacon
Q95000035;la;Turranius;Titus Turranius Niger|Turranius Niger
Q95000035;it;Turranio;Tito Turranio Nigro|Turranio Nigro
Q8747;cy;Euclid;Ewclid
Q8747;cv;Евклид;
Q8747;cs;Eukleidés;Euclides|Euklid|Euklides
Q8747;crh;Evklid;
Q8747;ckb;ئیقلیدس;
Q8747;ce;Евклид;
Q8747;bxr;Евклид;
Q8747;btm;Euklides;
Q8747;bs;Euklid;
Q8747;br;Euklides;
Q8747;bo;ཡོའུ་ཁེ་ལེ་ཏེ།;
Q8747;bn;ইউক্লিড;
Q8747;bi;Euclid;
Q8747;bho;यूक्लिड;
Q8747;bew;Iklidès;
Q8747;be;Эўклід;
Q8747;bcl;Euclid;
Q8747;ban;Éuclid;
Q8747;ba;Евклид;
Q8747;azb;اقلیدس;
Q8747;az;Evklid;
Q8747;av;Эвклид;
Q8747;as;ইউক্লিড;
Q8747;arz;ايكليديس;
Q41523;sq;Plutarku;Plutarhu
Q41523;sl;Plutarh;
Q41523;sk;Ploutarchos (spisovateľ);Plutarchos|Plútarchos|Plutarchos z Chaironeie
Q41523;sh;Plutarh;
Q41523;sd;پلو ٽارڪ;
Q41523;scn;Plutarcu;
Q41523;ro;Plutarh;Plutarch
Q41523;ps;پلوتارک;
Q41523;pnb;پلو ٹارک;
Q41523;pms;Plutarch;
Q41523;pa;ਪਲੂਟਾਰਕ;
Q41523;os;Плутарх;
Q41523;oc;Plutarc;
Q41523;nn;Plutark;
Q41523;nl;Plutarchus;Ploutarchos|Plutarchos
Q41523;nb;Plutark;Plutarch
Q41523;ms;Plutarch;
Q41523;mrj;Плутарх;
Q41523;mr;प्लूटार्क;प्लुटार्क
Q41523;mn;Плутарх;Плютарх
Q41523;ml;പ്ലൂട്ടാർക്ക്;Plutarch|മൊറേലിയ
Q41523;mk;Плутарх;
Q41523;mg;Plutarch;
Q41523;lzh;普魯塔克;
Q41523;lv;Plūtarhs;Plutarch|Plutarhs
Q41523;lt;Plutarchas;
Q41523;ky;Херонейлик Плутарх;
Q41523;ku;Plutarkhos;
Q41523;ko;플루타르코스;플루타르크
Q41523;kk;Плутарх;
Q41523;ka;პლუტარქე;პლუტარქი
Q41523;ja;プルタルコス;プルータルコス|プルターク
Q41523;is;Plútarkos;Plútark|Plútarkur|Plútarkus
Q41523;io;Plutarchos;
Q41523;id;Plutarkhos;Plutarch|Plutarkhus
Q41523;ia;Plutarcho;
Q41523;hyw;Պլուտարքոս;
Q41523;hy;Պլուտարքոս;
Q41523;hu;Plutarkhosz;
Q41523;hr;Plutarh;
Q41523;hi;प्लूटार्क;
Q41523;he;פלוטרכוס;פלוטארך|פלוטרך
Q41523;gsw;Plutarch;
Q41523;gl;Plutarco de Queronea;
Q41523;ga;Plútarc;
Q41523;frr;Plutarch;
Q41523;fi;Plutarkhos;Plutarkos
Q41523;fa;پلوتارک;پلوتارخ
Q41523;ext;Plutarcu;
Q41523;eu;Plutarko;Plutarco
Q41523;et;Plutarchos;
Q41523;eo;Plutarĥo;Plutarko
Q41523;cv;Плутарх;
Q41523;cs;Plútarchos;Plutarchos|Plutarch|Plútarchos z Chairóneie|Plutarchus|Plutarchus Chaeronensis
Q41523;co;Plutarcu;
Q41523;ckb;پلوتارک;
Q41523;ca;Plutarc de Queronea;Luci Mestri Plutarc|Plutarc
Q41523;bs;Plutarh;
Q41523;br;Ploutarc'hos;Ploutarc’hos
Q41523;bn;প্লুতার্ক;Μέστριος Πλούταρχος|Πλούταρχος|পাউলতার্চ
Q41523;bg;Плутарх;
Q41523;be-tarask;Плютарх;
Q41523;be;Плутарх;
Q41523;ba;Плутарх;
Q41523;azb;پلوتارک;
Q41523;az;Plutarx;
Q41523;ast;Plutarcu;
Q41523;arz;بلوتارك;
Q41523;ar;بلوطرخس;بلوتارخ|بلوتارش|بلوتارك
Q41523;af;Plutarchus;
Q41523;pl;Plutarch;Plutarch z Cheronei
Q41523;da;Plutarch;Plutark
Q41523;ru;Плутарх;Плутарх из Херонеи|Плутарх Херонейский
Q41523;el;Πλούταρχος;
Q41523;fr;Plutarque;Plutarque de Chéronée
Q41523;de;Plutarch;Ploutarchos|Plutarchus
Q41523;cy;Plutarch;
Q41523;la;Plutarchus;L. Mestrius Plutarchus|Plutarchus Biographus|Plutarchus Chaeronensis|Plutarchus Philosophus
Q41523;grc;Πλούταρχος;
Q41523;war;Plutarco;
Q41523;pt-br;Plutarco;Plutarco de Queroneia|Πλούταρχος
Q41523;pt;Plutarco;Plutarco de Queroneia
Q41523;mwl;Plutarco;
Q41523;lfn;Plutarco;
Q41523;es;Plutarco;Mestrio Plutarco|Plutarco de Queronea
Q41523;an;Plutarco;
Q41523;en;Plutarch;Plutarchus|Plutarchos|Lucius Mestrius Plutarchus|Ploutarchos|Plutarch of Chaeronea
Q41523;it;Plutarco;Plutarco di Cheronea
Q10261;zh-tw;畢達哥拉斯;
Q10261;zh-hk;畢達哥拉斯;
Q10261;zh-hant;畢達哥拉斯;
Q10261;zh-hans;毕达哥拉斯;
Q10261;zh-cn;毕达哥拉斯;
Q10261;zh;畢達哥拉斯;毕达哥拉斯
Q10261;yue;畢達哥拉斯;
Q10261;yo;Pythagoras;
Q10261;yi;פיטאגאראס;
Q10261;xmf;პითაგორა;
Q10261;xal;Пифагор;
Q10261;wuu;毕达哥拉斯;
Q8413;mg;Constantin Ier;Constantine Lehibe
Q8413;mad;Konstantinus Agung;
Q8413;lzh;君士坦丁一世;
Q8413;lv;Konstantīns I;
Q8413;lmo;Costantin I;
Q8413;li;Constantien de Groete;
Q8413;lfn;Constantino la Grande;
Q8413;lb;Konstantin de Groussen;
Q8413;kw;Kostentin I a Rom;
Q8413;ku;Konstantînê Mezin;
Q8413;ko;콘스탄티누스 1세;
Q8413;knc;Constantine the Great;
Q8413;kk;Ұлы Константин;
Q8413;ka;კონსტანტინე I დიდი;კონსტანტინე დიდი
Q8413;jv;Konstantin I;
Q8413;ja;コンスタンティヌス1世;ガーイウス・フラーウィウス・ウァレリウス・コーンスタンティーヌス|ガイウス・フラウィウス・ウァレリウス・コンスタンティヌス
Q8413;is;Konstantínus mikli;
Q8413;io;Constantinus la 1ma;
Q8413;ilo;Konstantino ti Natan-ok;Konstantino I|San Konstantino
Q8413;id;Konstantinus Agung;Konstantinus I
Q8413;ia;Constantino I;Constantino le Grande|Sancte Constantino
Q8413;hyw;Կոստանդիանոս Ա .Մեծ;
Q8413;hy;Կոստանդիանոս Ա Մեծ;
Q8413;hu;I. Constantinus római császár;
Q8413;hr;Konstantin I. Veliki;
Q8413;hif;Constantine I;
Q8413;hi;कोन्स्टान्टिन प्रथम;
Q8413;hak;Kiûn-sṳ-thán-tên Yit-sṳ;
Q8413;ha;Constantine the Great;
Q8413;gsw;Konstantin dr Groossi;
Q8413;grc;Κωνσταντῖνος ὁ Μέγας;
Q8413;gn;Kontantíno I;
Q8413;gl;Constantino I o Grande;Constantino I|Flavius Valerius Aurelius Constantinus
Q8413;gd;Còiseam Mòr;
Q8413;gcr;Constantin Ié (amprò romen);
Q8413;ga;Constantine a hAon, Impire na Róimhe;
Q8413;fy;Konstantyn de Grutte;
Q8413;frr;Konstantiin de Grat;
Q8413;fi;Konstantinus Suuri;
Q8413;eu;Konstantino I.a Handia;
Q8413;et;Constantinus Suur;
