Unnamed: 0,# items,# collections,Short name,First names,Surname,Sex,City of birth,Date of birth,City of death,Date of death,Collections,VIAF ID (https://viaf.org),Publisher CERL ID,Notes,Bibliography,Normalised date of birth,Normalised date of death,Earliest edition year,Relations
11,750,263,Augustine of Hippo,Aurelius,Augustinus,Male,Thagaste (Souk Ahras),354,,430,,http://viaf.org/viaf/66806872/,,,,354,430.0,1459,
12,722,354,Livy (Titus Livius),Titus,Livius Patavinus,Male,Padova,c. 59 BCE,Padova,17,,http://viaf.org/viaf/99942145/,,,,-59,17.0,1422,
13,718,255,Justinian I (emperor),Flavius Petrus Sabbatius,Iustinianus Augustus,Male,Tauresium,482,Constantinople,565,,http://viaf.org/viaf/88881722/,,,,482,565.0,1475,
14,703,197,Hippocrates of Kos,Hippocrates,Hippocrates of Kos,Male,,c. 460 BCE,,c. 370 BCE,,http://viaf.org/viaf/287984736/,,,,-460,-370.0,1498,
15,692,318,Suetonius,Gaius,Suetonius Tranquilius,Male,,c. 70,,c. 140,,http://viaf.org/viaf/100218606/,,,,70,140.0,1470,
16,687,323,"Sallust, Gaius Crispus",Gaius Sallustius Crispus,Sallustius,Male,Amiternum,86 BCE,,35 BCE,,http://viaf.org/viaf/104162705/,,,,-86,-35.0,1478,
17,631,301,"Lucretius, Titus Carus",Titus Lucretius Carus,Lucretius,Male,,c. 98 BCE,,c. 55 BCE,,http://viaf.org/viaf/106388020/,,,,-98,-55.0,1480,
18,618,388,"Josephus, Flavius",Josephus,Flavius,Male,Jerusalem,c. 37,,c. 100,,http://viaf.org/viaf/22143666/,,,,37,100.0,1276,
19,617,306,Plautus,Titus Maccius,Plautus,Male,Sarsina,c. 254 BCE,Roma,c. 184 BCE,,http://viaf.org/viaf/66462281/,,,,-254,-184.0,1472,
20,579,263,Persius (Aulus Persius Flaccus),Aulus,Persius Flaccus,Male,Volterra,34,Roma,62,,http://viaf.org/viaf/100198157/,,,,34,62.0,1475,
21,569,270,Xenophon of Athens,Xenophon,-,Male,Athens,c. 430 BCE,,c. 354 BCE,,http://viaf.org/viaf/89597697/,,,,-430,-354.0,1511,
22,567,303,"Justin, Marcus Junianus",Marcus Junianus,Justinus Frontinus,Male,,fl. 2nd century,,,,http://viaf.org/viaf/24616821/,,,,150,,1472,
23,525,292,Lucian of Samosata,-,Lucian of Samosata,Male,Samosata,120,Athens,,,http://viaf.org/viaf/100218901/,,,,120,,1494,
24,507,256,"Martial, Marcus Valerius",Marcus Valerius,Martialis,Male,Calatayud,c. 40,Roma,c. 104,,http://viaf.org/viaf/8099277/,,,,40,104.0,1475,
25,501,278,Lucan (Marcus Annaeus Lucanus),Marcus Annaeus,Lucanus,Male,Córdoba,39,Roma,65,,http://viaf.org/viaf/100902938/,,,,39,65.0,1477,
26,489,266,"Florus, Lucius Annaeus",Lucius Annaeus,Florus,Male,,c. 74,,c. 130,,http://viaf.org/viaf/89604346/,,,,74,130.0,1499,
27,478,271,Cornelius Nepos,Cornelius,Nepos,Male,Ostiglia,c. 110 BCE,Roma,c. 25 BCE,,http://viaf.org/viaf/100219060/,,,,-110,-25.0,1561,
28,449,212,Demosthenes,-,Demosthenes,Male,Athens,384 BCE,,322 BCE,,http://viaf.org/viaf/268302412/,,,,-384,-322.0,1504,
29,448,246,"Phaedrus, Gaius Julius",Gaius Julius,Phaedrus,Male,,c. 15 BCE,,c. 50,,http://viaf.org/viaf/9034149544629300490003/,,,,-15,50.0,1588,
30,436,240,Epictetus,Epictetus,-,Male,Şar,c. 50,Nikopolis (Epirus),c. 130,,http://viaf.org/viaf/100218891/,,"born Hierapolis, Phrygia (present-day Pamukkale, Turkey)",,50,130.0,1535,
31,434,210,Sophocles,Sophocles,Sophocles,Male,,c. 495 BCE,Athens,c. 406 BCE,,http://viaf.org/viaf/101760867/,,,,-495,-406.0,1502,
32,425,230,"Catullus, Gaius Valerius",Gaius Valerius,Catullus,Male,Verona,c. 84 BCE,Roma,c. 54 BCE,,http://viaf.org/viaf/100218993/,,,,-84,-54.0,1486,
33,419,268,Theophrastus,Theophrastus,-,Male,Eresius,c. 371 BCE,Athens,c. 287 BCE,,http://viaf.org/viaf/265397758/,,,,-371,-287.0,1483,
34,401,226,"Quintilian, Marcus Fabius",Marcus Fabius,Quintilianus,Male,Calahorra,35,Roma,100,,http://viaf.org/viaf/34451872/,,,,35,100.0,1471,
35,390,210,Eusebius of Caesarea,Eusebius,of Caesarea,Male,Israel,c. 260,,c. 339,,http://viaf.org/viaf/300039919/,,born in or around Caesarea Maritima,,260,339.0,1474,
36,389,215,Aristophanes,Aristophanes,Aristophanes,Male,Athens,c. 445 BCE,,,,http://viaf.org/viaf/20962036/,,,,-445,,1492,
37,389,225,"Petronius Arbiter, Gaius",Gaius,Petronius Arbiter,Male,Marseille,c. 27,Como,66,,http://viaf.org/viaf/95155909/,,,,27,66.0,1565,
38,368,214,"Propertius, Sextus",Sextus,Propertius,Male,Assisi,c. 50 BCE,,c. 15 BCE,,http://viaf.org/viaf/100907186/,,,,-50,-15.0,1486,
39,343,217,Aesop,-,Aesop,Male,,c. 620 BCE,,,,http://viaf.org/viaf/64013451/,,,,-620,,1497,
40,342,181,Euripides,-,Euripides,Male,,480 BCE,,406 BCE,,http://viaf.org/viaf/9553153063127619320004/,,,,-480,-406.0,1503,
41,324,219,Velleius Paterculus,Marcus,Velleius Paterculus,Male,,c. 19 BCE,,c. 31,,http://viaf.org/viaf/100171160/,,,,-19,31.0,1468,
42,317,164,Pindar,-,Pindar,Male,,515 BCE,Argos,438 BCE,,http://viaf.org/viaf/100181310/,,,,-515,-438.0,1513,
43,285,196,Aulus Gellius,Aulus,Gellius,Male,Roma,c. 123,Roma,c. 180,,http://viaf.org/viaf/100198334/,,,,123,180.0,1440,
44,284,196,Polybius,-,Polybius,Male,Megalopolis,c. 208 BCE,,c. 125 BCE,,http://viaf.org/viaf/18152380130901762264/,,,,-208,-125.0,1358,
45,280,188,"Boethius, Anicius Manlius Severinus",Anicius Manlius Severinus,Boethius,Male,Roma,c. 480,Pavia,c. 524,,http://viaf.org/viaf/100218964/,,,,480,524.0,1476,
46,273,179,Apuleius,Lucius,Apuleius,Male,,c. 124,,c. 170,,http://viaf.org/viaf/337145858249023022819/,,"born Madauros (now M'Daourouch, Algeria)
also: Lucius Apuleius Madaurensis",,124,170.0,1488,
47,267,174,"Lactantius, Lucius Caecilius",Lucius Caecilius Firmianus,Lactantius,Male,Cirta (Constantine),c. 250,,c. 325,,http://viaf.org/viaf/100198064/,,,,250,325.0,1472,
48,254,156,"Tertullian, Quintus Septimius",Quintus Septimius Florens,Tertullian,Male,Carthage,c. 160,Carthage,c. 230,,http://viaf.org/viaf/257902368/,,,,160,230.0,1494,
49,245,156,Isocrates,-,Isocrates,Male,Athens,436 BCE,Athens,338 BCE,,http://viaf.org/viaf/36926979/,,,,-436,-338.0,1499,
50,241,159,"Aelian, Claudius",Claudius Praenestinus,Aelianus,Male,Palestrina,c. 175,,c. 235,,http://viaf.org/viaf/306342544/,,,,175,235.0,1513,
51,224,160,Claudian (Claudius Claudianus),Claudius,Claudianus,Male,Alexandria,370,Roma,404,,http://viaf.org/viaf/246763674/,,,,370,404.0,1495,
52,223,161,Marcus Aurelius Antoninus (emperor),Marcus Aurelius,Antoninus,Male,Roma,121,Serbia,180,,http://viaf.org/viaf/102895066/,,,,121,180.0,1559,
53,220,162,Diogenes Laërtius,Diogenes,Laërtius,Male,,fl. 230,,,,http://viaf.org/viaf/41839141/,,,,230,,1475,
54,213,143,"Longinus, Cassius Dionysius",Cassius Dionysius,Longinus,Male,,c. 213,,c. 273,,http://viaf.org/viaf/42634532/,,born Syria,,213,273.0,1569,
55,209,154,Herodian of Antioch,-,Herodian,Male,Antioche,c. 170,,c. 240,,http://viaf.org/viaf/87614586/,,,,170,240.0,1493,
56,204,114,John Chrysostom (saint),Johannes,Chrysostomus,Male,Antioche,c. 349,,407,,http://viaf.org/viaf/55640865/,,,,349,407.0,1525,
57,204,150,"Statius, Publius Papinus",Publius Papinus,Statius,Male,Napoli,c. 40,,c. 96,,http://viaf.org/viaf/26149542580800300424/,,,,40,96.0,1480,
58,202,139,Arrian of Nicomedia,Lucius Flavius,Arrianus,Male,Nicomedia (İzmit),c. 95,Athens,c. 175,,http://viaf.org/viaf/100192636/,,,,95,175.0,1535,
59,196,146,Appian of Alexandria,Appian of Alexandria,Appianus,Male,Alexandria,c. 100,Roma,c. 180,,http://viaf.org/viaf/100191271/,,,,100,180.0,1472,
60,192,147,Diodorus Siculus,Diodorus,Siculus,Male,,c. 90 BCE,,c. 30 BCE,,http://viaf.org/viaf/56608763/,,,,-90,-30.0,1476,
61,188,116,Aeschines,Aeschines,-,Male,Athens,389 BCE,Samos,314 BCE,,http://viaf.org/viaf/161234357/,,,,-389,-314.0,1504,
62,184,141,Sulpicius Severus,Sulpicius Severus,-,Male,Aquitaine,c. 363,,c. 420,,http://viaf.org/viaf/30332452/,,,,363,420.0,1448,
63,182,115,Origen,.,Origen,Male,Alexandria,c.185,,c.254,,http://viaf.org/viaf/95155322/,,,,185,254.0,1481,
64,178,133,"Ausonius, Decimus Magnus",Decimus Magnus,Ausonius,Male,Bordeaux,c. 310,,c. 395,,http://viaf.org/viaf/109786483/,,,,310,395.0,1501,
65,176,127,"Ptolemy, Claudius",Claudius,Ptolomeus,Male,,c. 100,Alexandria,c. 170,,http://viaf.org/viaf/312739422/,,,,100,170.0,1462,
66,165,92,Vitruvius,Marcus Vitruvius Pollio,Vitrubius,Male,,c. 90 BCE,,c. 20 BCE,,http://viaf.org/viaf/77586244/,,,,-90,-20.0,1486,
67,163,94,"Celsus, Aulus Cornelius",Aulus Cornelius,Celsus,Male,,29 BCE,,37,,http://viaf.org/viaf/100172872/,,,,-29,37.0,1493,
68,162,118,Cassius Dio,Lucius,Cassius Dio,Male,Nicaea,c. 155,,c. 235,,http://viaf.org/viaf/95167625/,,,,155,235.0,1074,
69,157,130,Pausanias,Pausanias,-,Male,,c. 110,,c. 180,,http://viaf.org/viaf/77132959/,,,,110,180.0,1498,
70,156,123,Eutropius,Flavius,Eutropius,Male,,fl. 360,,,,http://viaf.org/viaf/25396473/,,,,360,,1475,
71,155,115,Sappho,.,Sappho,Female,Lesbos,c. 630 BCE,Lesbos,c. 570 BCE,,http://viaf.org/viaf/78770488/,,,,-630,-570.0,1499,
72,155,118,Justin Martyr (saint),Justin Martyr (saint),-,Male,,c. 100,Roma,165,,http://viaf.org/viaf/88878069/,,,,100,165.0,1538,
73,150,82,"Galen, Claudius",Claudius,Galenus,Male,Pergame,c. 131,,c. 201,,http://viaf.org/viaf/44299175/,,,,131,201.0,1523,
74,147,103,Cyprian of Carthage (saint),Thascius Caecilius,Cyprianus,Male,Carthage,c. 200,Carthage,c. 258,,http://viaf.org/viaf/100179090/,,,,200,258.0,1525,
75,133,109,Ammianus Marcellinus,Ammianus,Marcellinus,Male,Antioche,c. 330,,c. 440,,http://viaf.org/viaf/7994149544621300490006/,,,,330,440.0,1474,
76,132,114,Strabo,Strabo,-,Male,Amasya,c. 64 BCE,,c. 24,,http://viaf.org/viaf/100219883/,,,,-64,24.0,1480,
77,125,105,Julian (emperor),Flavius Claudius Julianus,-,Male,Constantinople,331,,363,,http://viaf.org/viaf/57406701/,,"Julian the Apostate
died Frygium, Mesopotamia",,331,363.0,1566,
78,123,86,Iamblichus,-,Iamblichus,Male,,fl. 160,,,,http://viaf.org/viaf/41992412/,,,,160,,1497,
79,120,100,Aurelius Victor,Sextus,Aurelius Victor,Male,,c. 320,,c. 390,,http://viaf.org/viaf/64001057/,,,,320,390.0,1516,
80,118,103,"Prudentius, Aurelius",Aurelius,Prudentius Clemens,Male,Tarragona,348,,c. 405,,http://viaf.org/viaf/100010336/,,,,348,405.0,1501,
81,118,98,Hierocles of Alexandria,Hierocles of Alexandria,-,Male,Alexandria,fl. 430,,,,http://viaf.org/viaf/95295649/,,"He seems to have been banished from Alexandria and to have taken up his abode in Constantinople, where he gave such offence that he was thrown into prison.",,430,,1054,
82,109,92,Clement of Alexandria,Clement,Clement of Alexandria,Male,Athens,c. 150,Jerusalem,c. 215,,http://viaf.org/viaf/2653149544580200490007/,,,,150,215.0,1544,
83,108,86,Gregory of Nazianzus,Gregory of Nazianzus,-,Male,,c. 330,,c. 390,,http://viaf.org/viaf/108675755/,,,,330,390.0,1504,
84,106,91,Philo Judaeus,Philo,Judaeus,Male,Alexandria,c. 20 BCE,,c. 40,,http://viaf.org/viaf/307158263/,,,,-20,40.0,1513,
85,106,91,Athenaeus of Naucratis,-,Athenaeus of Naucratis,Male,Egypte,fl. 2nd century,,,,http://viaf.org/viaf/307168041/,,born Naucratis (Egypt),,150,,1514,
86,103,74,Moschus,Moschus,-,Male,Siracusa,fl. 150 BCE,,,,http://viaf.org/viaf/299323588/,,,,-150,,1555,
87,99,78,"Valerius Flaccus, Gaius",Gaius,Valerius Flaccus,Male,,c. 45,,c. 90,,http://viaf.org/viaf/100899421/,,,,45,90.0,1501,
88,99,71,"Terentius Varro, Marcus",Marcus,Terentius Varro,Male,Rieti,116 BCE,,27 BCE,,http://viaf.org/viaf/100219311/,,,,-116,-27.0,1476,
89,99,71,Theodoretus of Cyrrha,-,Theodoretus of Cyrrha,Male,Antioche,c. 393,,c. 466,,http://viaf.org/viaf/77111352/,,,,393,466.0,1535,
90,98,80,Philostratus (Flavius),Flavius,Philostratus,Male,,c. 175,Tyre,c. 246,,http://viaf.org/viaf/250889454/,,,,175,246.0,1497,
91,97,70,Apollonius of Rhodes,Apollonius,-,Male,,fl. 230,,,,http://viaf.org/viaf/100175273/,,,,230,,1073,
92,96,80,"Jerome, Eusebius Sophronius (saint )",Sophronius Eusebius,Hieronymus,Male,,c. 347,Bethlehem,c. 420,,http://viaf.org/viaf/95147024/,,"born at Stridon, a village near Emona on the border of Dalmatia and Pannonia",,347,420.0,1468,
93,96,89,"Vegetius, Publicus Flavius",Publicus Flavius Vegetius Renatus,Vegetius,Male,,c. 383,,c. 450,,http://viaf.org/viaf/163344563/,,,,383,450.0,1045,
94,94,73,Bion of Smyrna,Bion of Smyrna,-,Male,Smyrna (İzmir),c. 120 BCE,,57 BCE,,http://viaf.org/viaf/7476159477558427990005/,,,,-120,-57.0,1555,
95,94,73,"Frontinus, Sextus Julius",Sextus Julius,Frontinus,Male,,c. 40,,c. 103,,http://viaf.org/viaf/12349897/,,,,40,103.0,1496,
96,84,67,Lycophron of Chalcis,Lycophron of Chalcis,.,Male,,fl. 260 BCE,,,,http://viaf.org/viaf/68976194/,,,,-260,,1546,
97,84,62,Aphthonius of Antioch,Aphthonius,Aphthonius of Antioch,Male,Antioche,fl. 360,,,,http://viaf.org/viaf/265112315/,,,,360,,1549,
98,82,67,Procopius of Caesarea,Procopius of Caesarea,-,Male,,c. 500,Constantinople,c. 570,,http://viaf.org/viaf/100172302/,,native of Caesarea in the province of Palaestina Prima,,500,570.0,1506,
99,82,66,Basil of Caesarea,-,Basil of Caesarea,Male,Kayseri,c. 329,,379,,http://viaf.org/viaf/88967224/,,,,329,379.0,1490,
100,81,72,Maximus of Tyre,Maximus of Tyre,-,Male,Tyre,fl. 150,,,,http://viaf.org/viaf/100903442/,,,,150,,1517,
101,80,62,Pedanius Dioscorides,Pedanius,Dioscorides,Male,Anazarbus,c. 40,,c. 90,,http://viaf.org/viaf/78822798/,,,,40,90.0,1499,
102,78,54,Ignatius of Antioch (saint),Ignatius of Antioch,-,Male,,c. 35,,c. 108,,http://viaf.org/viaf/267432724/,,"Born Syria
Ἰγνάτιος Ἀντιοχείας, 
Ignátios Antiokheías; 
Ignatius Theophorus (Ιγνάτιος ὁ Θεοφόρος)
Ignatius Nurono",,35,108.0,1498,
103,75,61,Cato (the Elder),Marcus Porcius,Cato,Male,Toscolano Maderno,234 BCE,,149 BCE,,http://viaf.org/viaf/99852885/,,,,-234,-149.0,1488,
104,72,60,"Pollux, Julius",Julius,Pollux,Male,Egypte,180,,238,,http://viaf.org/viaf/2991030/,,born Naucratis,,180,238.0,1502,
105,69,47,Theophylact of Ohrid,Theophylact,-,Male,Chalkis,105,,,,http://viaf.org/viaf/69730041/,,"Theophylactus Achridensis (105.-11) (latin)
Theofýlaktos Boulgarías (105.-11..)
Θεοφύλακτος Βουλγαρίας (105.-11..)
Théophylacte d'Achrida (105.-11..)
Théophylacte de Bulgarie (105.-11..)
Théophylacte Héphaistos (105.-11..)
Theofulaktos Ahridos (105.-11..)
Theophylactus Achridensis (105.-11..)
Theophylactus de Achrida (105.-11..)
Theofýlaktos, ̓arhiepískopos ̓Ahrídōn kaì Boulgarías (105.-11..)
Θεοφύλακτος, ἀρχιεπίσκοπος Ἀχρίδων καὶ Βουλγαρίας (105.-11..)
Theophylact of Ochrid (105.-11..)
Teofilatto di Ocrida (105.-11..)",,105,,1524,
106,68,62,Zosimus,Zosimus,-,Male,,460,,520,,http://viaf.org/viaf/102333329/,,residence: Constantinope,,460,520.0,1531,
107,66,44,Proclus,-,Proclus,Male,Constantinople,412,Athens,485,,http://viaf.org/viaf/102369543/,,"Proclus Lycius , also called the Successor (",,412,485.0,1497,
108,64,61,Socrates Scholasticus,Socrates Scholasticus,-,Male,Constantinople,c. 380,,c. 450,,http://viaf.org/viaf/55571017/,,,,380,450.0,1539,
109,62,48,Archimedes of Syracuse,-,Archimedes,Male,Siracusa,c. 288 BCE,Siracusa,c. 212 BCE,,http://viaf.org/viaf/29547910/,,,,-288,-212.0,1543,
110,60,56,"Ambrosius, Aurelius (saint)",Aurelius,Ambrosius,Male,Trier,c. 340,Milano,c. 397,,http://viaf.org/viaf/100227669/,,,,340,397.0,1471,
111,55,48,Aurelius Cassiodorus,Flavius Magnus Aurelius,Cassiodorus Senator,Male,Squillace,c. 490,Viviers,c. 580,,http://viaf.org/viaf/95230707/,,,,490,580.0,1533,
112,54,49,"Festus, Sextus Pompeius",Sextus Pompeius,Festus,Male,,fl. 2nd century,,,,http://viaf.org/viaf/89123645/,,,,150,,1559,
113,54,43,Menander,.,Menander (of Athens),Male,,c. 342 BCE,,c. 292 BCE,,http://viaf.org/viaf/267889413/,,,,-342,-292.0,1553,
114,54,43,"Baculard d'Arnaud, François-Thomas-Marie de",François-Thomas-Marie de,Baculard d'Arnaud,Male,Paris,15-09-1718,Paris,09-11-1805,,http://viaf.org/viaf/95165197/,,,,12,10.0,1714,
115,54,51,Sextus Empiricus,Sextus Empiricus,-,Male,,c. 160,,c. 210,,http://viaf.org/viaf/60320706/,,,,160,210.0,1569,
116,54,40,Nonnus of Panopolis,Nonnus of Panopolis,-,Male,Akhmim,fl. 400,,,,http://viaf.org/viaf/61564416/,,born Panopolis (present-day Akhmim),,400,,1559,
117,50,39,"Harpocration, Valerius",Valerius,Harpocration,Male,,c. 150,,,,http://viaf.org/viaf/211435698/,,,,150,,1583,
118,50,48,"Sozomenus, Hermias",Hermias,Sozomenus,Male,,c. 400,,c. 450,,http://viaf.org/viaf/305409681/,,"born around 400 in Bethelia, a small town near Gaza",,400,450.0,1539,
119,49,44,Hesychius of Alexandria,Hesychius of Alexandria,-,Male,Alexandria,fl. 450,,,,http://viaf.org/viaf/21314508/,,,,450,,1514,
120,49,45,Censorinus,Censorinus,-,Male,,fl. 238,,,,http://viaf.org/viaf/195718548/,,,,238,,1493,
121,47,37,Salvianus,Salvianus,-,Male,Trier,c. 400,Marseille,c. 480,,http://viaf.org/viaf/236486362/,,"Salvian's birthplace is uncertain, but some scholars have suggested Cologne or Trier
also: Salvianus of Marseille",,400,480.0,1530,
122,47,43,Porphyry of Tyre,Porphyry of Tyre,-,Male,Tyre,c. 234,Roma,c. 305,,http://viaf.org/viaf/102333270/,,,,234,305.0,1505,
123,47,36,Gregory of Nyssa (saint),Gregory of Nyssa,-,Male,,c. 335,Neisse,c. 394,,http://viaf.org/viaf/103646160/,,,,335,394.0,1512,
124,47,39,Philemon Syracusanus,Philemon,Syracusanus,Male,,c. 360 BCE,,c. 263 BCE,,http://viaf.org/viaf/231019921/,,,,-360,-263.0,1700,
125,46,40,Leo the Great (Pope),Leo,-,Male,,c. 400,Roma,c. 461,,http://viaf.org/viaf/9875336/,,born in Tuscany,,400,461.0,1546,
126,45,34,Simplicius of Cilicia,Simplicius of Cilicia,-,Male,,c. 490,,c. 560,,http://viaf.org/viaf/71399875/,,,,490,560.0,1526,
127,45,35,Athenagoras of Athens,Athenagoras,-,Male,,c. 133,,c. 190,,http://viaf.org/viaf/106097488/,,,,133,190.0,1541,
128,45,41,"Orosius, Paulus",Paulus,Orosius,Male,Braga,c. 375,,4XX,,http://viaf.org/viaf/2479624/,,died after 418,,375,,1500,
129,44,35,Lysias,.,Lysias,Male,,c. 445 BCE,,c. 380 BCE,,http://viaf.org/viaf/183417170/,,,,-445,-380.0,1513,
130,44,37,Themistius,Themistius,-,Male,Paphlagon,317,Constantinople,c. 390,,http://viaf.org/viaf/100219934/,,,,317,390.0,1504,
131,43,24,Aretaeus of Cappadocia,-,Aretaeus of Cappadocia,Male,,fl. 130,,,,http://viaf.org/viaf/173472364/,,presumably a native or citizen of Cappadocia,,130,,1552,
132,43,37,"Seneca, Marcus / Lucius Annaeus (rhetor)",Lucius Annaeus,Seneca,Male,Córdoba,c. 55 BCE,,c. 37,,http://viaf.org/viaf/23497389/,,,,-55,37.0,1503,
133,42,37,Philostratus the Elder,-,Philostratus,Male,,c. 190,,c. 230,,http://viaf.org/viaf/72203785/,,,,190,230.0,1532,
134,42,39,Hilarius Pictaviensis,Hilarius Pictaviensis,-,Male,Poitiers,c. 315,Poitiers,367,,http://viaf.org/viaf/89595978,,,,315,367.0,1523,
135,42,39,"Symmachus, Quintus Aurelius",Quintus Aurelius,Symmachus,Male,Roma,c. 340,,405,,http://viaf.org/viaf/98247027/,,,,340,405.0,1398,
136,42,35,"Asconius Pedianus, Quintus",Quintus,Asconius Pedianus,Male,Padova,c. 9 BCE,Roma,c. 76,,http://viaf.org/viaf/85065079/,,,,-9,76.0,1519,
137,40,36,Oppian of Cilicia,Oppianus,-,Male,Anazarbus,fl. 2nd cent.,,,,http://viaf.org/viaf/225956084/,,often confused with Oppian of Syria,,150,,1549,
138,40,39,Polyaenus,-,Polyaenus,Male,,fl. 2nd c,,,,http://viaf.org/viaf/15564840/,,,,150,,1589,
139,39,35,"Ennius, Quintus",Quintus,Ennius,Male,Lecce,c. 239 BCE,,c. 169 BCE,,http://viaf.org/viaf/84976347/,,,,-239,-169.0,1590,
140,37,31,Fulgentius of Ruspe (saint),Fabius Claudius Gordianus,Fulgentius,Male,,467,,532,,http://viaf.org/viaf/102324857/,,"born Telepte (modern-day Medinet-el-Kedima), Tunisia
died Ruspe",,467,532.0,1565,
141,37,35,Julius Obsequens,Julius Obsequens,-,Male,,fl. 400,,,,http://viaf.org/viaf/100202247/,,,,400,,1508,
142,37,32,Synesius,Synesius,-,Male,,c. 373,,c. 413,,http://viaf.org/viaf/102323982/,,"boen Balagrae (now Bayda, Libya) near Cyrene",,373,413.0,1508,
143,36,31,Cyril of Jerusalem (saint),Cyril of Jerusalem,-,Male,,c. 315,Jerusalem,386,,http://viaf.org/viaf/2437490/,,"born possibly near Caesarea Maritima, Syria Palaestina (Modern-day Israel)",,315,386.0,1564,
144,35,33,Dio Chrysostom,Dio Chrysostom,-,Male,Bursa,c. 40,,c. 115,,http://viaf.org/viaf/100906841/,,Dion of Prusa or Dio Cocceianus,,40,115.0,1585,
145,35,31,Philostratus the Younger,-,Philostratus,Male,,c. 220,,03..,,http://viaf.org/viaf/14850802/,,,,220,350.0,1578,
146,34,25,Aratus Solaeus,Aratus,Solaeus,Male,,c. 315 BCE,Pella,c. 240 BCE,,http://viaf.org/viaf/100908520/,,born Soli,,-315,-240.0,1559,
147,32,27,Quintus Calaber,Quintus Calaber,-,Male,,fl. 4th century,,,,http://viaf.org/viaf/76294608/,,"also: Quintus of Smyrna, Kointos Smyrnaios",,350,,1504,
148,32,25,Cyril of Alexandria (saint),Cyril of Alexandria,-,Male,,c. 376,Alexandria,444,,http://viaf.org/viaf/190218431/,,"born Didouseya, Roman Egypt
(modern-day El-Mahalla El-Kubra)",,376,444.0,1514,
149,32,27,Antoninus Liberalis,Antoninus Liberalis,-,Male,,fl. c. 100-300,,,,http://viaf.org/viaf/251871635/,,,,200,,1568,
150,32,31,Sidonius Apollinaris,.,Gaius Sollius Modestus Apollinaris Sidonius,Male,Lyon,c.431,Clermont-Ferrand,c.489,,http://viaf.org/viaf/89203537/,,,,431,489.0,1498,
151,31,30,Epicurus,Epicurus,-,Male,Samos,341 BCE,Athens,270 BCE,,http://viaf.org/viaf/1763151778254618130009/,,,,-341,-270.0,1649,
152,30,28,Palaephatus,Palaephatus,-,Unknown,,fl. 4th century,,,,http://viaf.org/viaf/100181721/,,,,350,,1528,
153,28,26,"Avianus, Flavius",Flavius,Avianus,Male,,c. 4th C.,,c. 4th C.,,http://viaf.org/viaf/41836105/,,,,350,350.0,1545,
154,28,24,Prosper d'Aquitaine (saint),-,Prosper d'Aquitaine (saint),Male,,c. 390,,c. 455,,http://viaf.org/viaf/52485706/,,,,390,455.0,1539,
155,28,27,Nemesius of Emesa (bishop),Nemesius of Emesa,-,Male,Emesa,fl. 390,,,,http://viaf.org/viaf/42630277/,,,,390,,1538,
156,27,22,"Dreux du Radier, Jean-François",Jean-François,Dreux du Radier,Male,,10-05-1714,,01-03-1780,,http://viaf.org/viaf/24665106/,,,,7,2.0,1754,
157,27,25,Plotinus,-,Plotinus,Male,,205,,270,,http://viaf.org/viaf/108386765/,,,,205,270.0,1492,
